0	11	22
52	11	65
53	11	51
58	14	44
58	15	38
117	19	56
118	19	50
157	26	25
158	26	22
156	27	44
157	27	36
159	27	15
160	28	37
161	28	56
161	29	8
71	46	37
99	46	9
100	46	25
101	46	36
102	46	35
103	46	33
104	46	26
105	46	41
71	47	49
99	47	14
100	47	19
105	47	43
71	48	36
97	50	17
98	50	31
97	51	16
98	51	30
99	51	51
138	53	50
139	53	36
64	63	26
64	64	30
64	65	34
63	66	15
64	66	43
63	67	31
64	67	37
62	68	31
197	80	15
198	81	30
199	82	36
199	83	26
200	84	43
201	84	26
201	85	18
202	85	32
10	86	34
11	86	31
12	86	30
202	86	44
3	87	61
4	87	47
8	87	13
9	87	32
10	87	35
201	87	82
202	87	79
203	87	17
4	88	14
5	88	23
8	88	37
201	88	42
202	88	75
8	89	26
8	90	32
8	91	40
7	92	39
7	93	27
8	93	35
9	93	33
8	94	16
9	94	84
8	95	22
9	95	48
33	96	57
34	96	49
35	96	26
36	96	30
37	96	33
98	109	9
99	109	22
98	110	3
97	111	2
96	112	22
97	112	7
96	113	40
96	114	26
95	115	6
96	115	6
95	116	28
95	117	39
95	118	21
95	119	28
95	120	20
95	121	7
4	122	41
2	123	32
3	123	36
1	124	44
2	124	18
46	125	3
47	125	51
46	126	78
47	126	56
48	126	72
95	126	31
45	127	55
46	127	52
48	127	43
49	127	74
95	127	26
147	127	20
45	128	42
46	128	51
49	128	31
50	128	12
95	128	37
147	128	26
148	128	67
149	128	26
45	129	25
46	129	29
47	129	18
48	129	26
49	129	30
50	129	10
95	129	33
47	130	25
94	130	29
95	130	7
94	131	23
0	134	48
1	134	30
0	135	33
1	135	16
31	135	29
0	136	29
31	136	26
31	137	27
31	138	79
32	138	35
29	139	24
30	139	40
31	139	33
29	140	50
29	141	44
30	141	58
29	142	79
30	142	70
236	162	46
237	162	32
238	162	33
239	162	24
240	163	25
241	163	20
242	163	21
250	165	10
249	166	54
250	166	85
251	166	29
247	167	38
248	167	122
249	167	7
252	167	25
253	167	13
147	168	61
95	169	33
96	169	18
146	169	31
147	169	23
163	169	33
164	169	18
95	170	42
96	170	24
163	170	25
164	170	36
165	170	38
95	171	33
94	172	25
94	173	44
94	174	21
95	174	13
95	175	31
95	176	16
96	176	26
96	177	26
96	178	10
97	178	20
97	179	66
97	180	28
97	181	37
88	182	65
97	182	36
163	216	14
164	216	30
164	217	73
165	217	12
167	227	34
168	227	13
167	228	38
166	229	10
167	229	46
167	230	26
166	231	19
166	232	20
252	232	50
166	233	25
252	233	91
253	233	29
165	234	17
166	234	9
165	235	48
165	236	37
165	237	73
165	238	36
165	239	42
164	240	46
165	240	62
166	240	10
166	241	41
166	242	27
167	242	38
166	243	57
167	243	71
235	249	27
234	250	35
232	251	24
233	251	42
231	252	27
232	252	25
